,新一线城市,一线城市,二线城市,三线城市,四线城市,日期
采样用户数,2327.0,601.0,1462.0,190.0,10.0,2022-08-01
轨迹一里程数,153508.14000000004,39973.527,99840.59099999997,13789.419000000013,866.8539999999999,2022-08-01
轨迹二里程数,162809.57000000036,42487.818999999996,104968.57599999994,14908.588999999998,990.0110000000001,2022-08-01
