,高峰期,非高峰期,日期
采样用户数,2783.0,3305.0,2022-06-04
轨迹一里程数,226328.45799999987,235667.10099999967,2022-06-04
轨迹二里程数,252728.19099999944,266960.4360000007,2022-06-04
