,高峰期,非高峰期,日期
采样用户数,2274.0,2611.0,2022-04-05
轨迹一里程数,215119.09999999983,221382.79799999928,2022-04-05
轨迹二里程数,238888.9840000003,248935.8389999997,2022-04-05
