,高峰期,非高峰期,日期
采样用户数,1921.0,2287.0,2022-03-01
轨迹一里程数,35632.54100000007,36774.72699999994,2022-03-01
轨迹二里程数,39574.47100000004,41377.42599999993,2022-03-01
