,高峰期,非高峰期,日期
采样用户数,2369.0,2810.0,2022-04-02
轨迹一里程数,87170.34700000045,88585.42600000002,2022-04-02
轨迹二里程数,96989.34000000005,99966.32099999982,2022-04-02
