,高峰期,非高峰期,日期
采样用户数,2764.0,3143.0,2022-05-01
轨迹一里程数,52483.31400000007,52488.18199999995,2022-05-01
轨迹二里程数,58415.76199999998,59029.38799999999,2022-05-01
