,高峰期,非高峰期,日期
采样用户数,2774.0,3207.0,2022-05-05
轨迹一里程数,266135.19100000005,271434.1230000003,2022-05-05
轨迹二里程数,296291.5920000001,306464.0459999993,2022-05-05
