,高峰期,非高峰期,日期
采样用户数,3153.0,3744.0,2022-06-01
轨迹一里程数,62876.945000000014,65543.25800000012,2022-06-01
轨迹二里程数,70430.42299999997,74824.57100000016,2022-06-01
