,高峰期,非高峰期,日期
采样用户数,4660.0,5705.0,2022-08-04
轨迹一里程数,331383.8369999998,345186.11100000155,2022-08-04
轨迹二里程数,369296.30400000216,390852.7440000003,2022-08-04
