,高峰期,非高峰期,日期
采样用户数,2369.0,2767.0,2022-04-03
轨迹一里程数,131043.32100000024,134604.06500000012,2022-04-03
轨迹二里程数,145614.6739999998,151613.17899999983,2022-04-03
