,高峰期,非高峰期,日期
采样用户数,2139.0,2589.0,2022-03-05
轨迹一里程数,189061.44000000018,195556.4289999995,2022-03-05
轨迹二里程数,209732.6650000002,219961.34200000012,2022-03-05
