,高峰期,非高峰期,日期
采样用户数,1994.0,2353.0,2022-03-03
轨迹一里程数,110725.91800000041,112150.43699999982,2022-03-03
轨迹二里程数,123017.78400000042,126504.3530000002,2022-03-03
