,高峰期,非高峰期,日期
采样用户数,5418.0,6084.0,2022-09-05
轨迹一里程数,492873.61899999913,492640.48600000294,2022-09-05
轨迹二里程数,551679.8109999994,559268.0179999974,2022-09-05
