,高峰期,非高峰期,日期
采样用户数,3982.0,4484.0,2022-08-02
轨迹一里程数,154644.25799999989,153670.27800000054,2022-08-02
轨迹二里程数,171963.0220000006,173881.84000000072,2022-08-02
