,高峰期,非高峰期,日期
采样用户数,2734.0,3184.0,2022-06-03
轨迹一里程数,174042.2449999996,179532.22499999957,2022-06-03
轨迹二里程数,194580.36699999977,203667.99500000034,2022-06-03
