,高峰期,非高峰期,日期
采样用户数,4511.0,4990.0,2022-09-02
轨迹一里程数,180825.16199999987,179974.35000000038,2022-09-02
轨迹二里程数,202136.4669999998,204177.0109999995,2022-09-02
