,高峰期,非高峰期,日期
采样用户数,2045.0,2538.0,2022-03-04
轨迹一里程数,148790.41000000032,153605.45299999983,2022-03-04
轨迹二里程数,165270.75000000047,173013.33000000034,2022-03-04
