,高峰期,非高峰期,日期
采样用户数,3318.0,3875.0,2022-07-04
轨迹一里程数,271968.12699999876,271140.72599999903,2022-07-04
轨迹二里程数,303533.07100000046,305788.0959999993,2022-07-04
