,高峰期,非高峰期,日期
采样用户数,2063.0,2400.0,2022-03-02
轨迹一里程数,73641.71200000019,74669.53899999992,2022-03-02
轨迹二里程数,81704.74500000002,84089.37199999996,2022-03-02
