,高峰期,非高峰期,日期
采样用户数,2998.0,3484.0,2022-06-02
轨迹一里程数,120937.55699999986,125978.63600000023,2022-06-02
轨迹二里程数,135568.82499999966,143508.29900000044,2022-06-02
