,高峰期,非高峰期,日期
采样用户数,5288.0,6012.0,2022-09-04
轨迹一里程数,382856.247999999,383310.3650000034,2022-09-04
轨迹二里程数,427596.8500000001,433861.60199999536,2022-09-04
