,高峰期,非高峰期,日期
采样用户数,2683.0,3240.0,2022-05-03
轨迹一里程数,157624.62400000004,161980.06100000045,2022-05-03
轨迹二里程数,175498.2730000002,182385.9649999997,2022-05-03
