,高峰期,非高峰期,日期
采样用户数,4629.0,5437.0,2022-09-03
轨迹一里程数,274843.42399999965,277114.56400000124,2022-09-03
轨迹二里程数,307119.4049999996,313562.9259999979,2022-09-03
