,高峰期,非高峰期,日期
采样用户数,3942.0,4608.0,2022-08-03
轨迹一里程数,232252.6149999997,234985.2740000009,2022-08-03
轨迹二里程数,258162.4880000008,265538.07100000064,2022-08-03
