,高峰期,非高峰期,日期
采样用户数,4625.0,5175.0,2022-09-01
轨迹一里程数,92279.17100000005,91787.24400000022,2022-09-01
轨迹二里程数,103168.21000000002,104416.57700000046,2022-09-01
