,高峰期,非高峰期,日期
采样用户数,2915.0,3332.0,2022-06-05
轨迹一里程数,282534.8640000005,292391.8140000004,2022-06-05
轨迹二里程数,314721.2929999993,330589.3380000002,2022-06-05
